,type,product,per_serving_g,total_fat_g,sugars_g,sodium_g,total_fat_g_per_gram_of_serving,sugars_g_per_gram_of_serving,sodium_g_per_gram_of_serving,imageLink
24,cracker,https://www.fairprice.com.sg/search?query=Ritz Crackers Box - Original,19.0,5.0,1.0,0.13,0.2631578947368421,0.052631579,0.006842105,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/200494_XL1_20230714.jpg
25,cracker,https://www.fairprice.com.sg/search?query=Hup Seng Crackers - Cream,31.0,7.0,3.0,0.18,0.2258064516129032,0.096774194,0.005806452,
26,cracker,https://www.fairprice.com.sg/search?query=Hup Seng Crackers - Sugar,22.5,3.0,4.0,0.14,0.1333333333333333,0.1777777777777777,0.006222222,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/11178701_XL1_20210218.jpg
27,cracker,https://www.fairprice.com.sg/search?query=Munchy's Crackers - Cream,100.0,19.0,2.0,0.51,0.19,0.02,0.0051,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13035079_XL1_20210218.jpg
28,cracker,https://www.fairprice.com.sg/search?query=FairPrice Cream Crackers - Special,100.0,22.8,13.9,0.419,0.228,0.139,0.00419,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/12127412_XL1_20230718.jpg
29,cracker,https://www.fairprice.com.sg/search?query=FairPrice Cream Crackers,100.0,21.5,1.6,0.367,0.215,0.016,0.00367,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13033320_XL1_20230519.jpg
30,cracker,https://www.fairprice.com.sg/search?query=Munchy's Crackers - Sugar,30.0,6.0,4.0,0.16,0.2,0.1333333333333333,0.005333333,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13075293_XL1_20220603.jpg
31,cracker,https://www.fairprice.com.sg/search?query=Khong Guan Crackers - Cream,26.0,4.0,1.0,0.215,0.1538461538461538,0.0384615384615384,0.008269231,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/10522988_XL1_20210505.jpg
32,cracker,https://www.fairprice.com.sg/search?query=Julie's Crackers - Wheat,25.0,8.0,1.0,0.16,0.32,0.04,0.0064,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/12081063_XL1_20210621.jpg
33,cracker,https://www.fairprice.com.sg/search?query=Hup Seng Crackers - Cream (Special),22.5,6.0,1.0,0.1,0.2666666666666666,0.0444444444444444,0.004444444,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/11157740_XL1_20210506.jpg
