type,product,per_serving_g,total_fat_g,sugars_g,sodium_g,total_fat_g_per_gram_of_serving,sugars_g_per_gram_of_serving,sodium_g_per_gram_of_serving
wafer,Alor Durian Wafer 21g x 10,100.0,31.1,0.0,0.061,0.311,0.0,0.00061
wafer,Beryl's Coconut Rolls Original,75.0,7.1,23.0,0.03,0.09466666666666666,0.30666666666666664,0.00039999999999999996
wafer,Julie's Love Letter Wafer Biscuit Roll - Chocolate,30.0,4.0,13.0,0.065,0.13333333333333333,0.43333333333333335,0.0021666666666666666
wafer,Julie's Love Letter Wafer Biscuit Roll - Strawberry,30.0,5.0,12.0,0.065,0.16666666666666666,0.4,0.0021666666666666666
wafer,Lee S'bery Wafers Sticks,180.0,31.6,23.2,0.048,0.17555555555555558,0.1288888888888889,0.0002666666666666667
wafer,Loacker Crispy Wafer Bar - Milk,100.0,28.0,27.0,0.16399999999999998,0.28,0.27,0.0016399999999999997
wafer,Loacker Crispy Wafer Bar - Cremkakao,100.0,26.0,28.0,0.124,0.26,0.28,0.00124
wafer,Mincher Peanut Flavor Wafer,400.0,29.2,10.9,0.071,0.073,0.02725,0.00017749999999999998
wafer,Redondo Cream Wafers - Cappuccino,36.0,6.5,12.6,0.081,0.18055555555555555,0.35,0.0022500000000000003
wafer,"Schar Schar Wafers with Lemon Cream, Gluten Free",100.0,24.0,33.0,0.06,0.24,0.33,0.0006
wafer,Lee Biscuits Carton - 24 Pack Cheese Cream Wafers Cubes,80.0,32.4,12.8,0.314,0.40499999999999997,0.16,0.003925
wafer,Lee Biscuits Carton - 24 Pack Strawberry Cream Wafers Cubes,90.0,31.6,23.2,0.048,0.35111111111111115,0.2577777777777778,0.0005333333333333334
wafer,Aladdin Danish Deluxe Waffle Cones,100.0,6.9,28.6,0.0,0.069,0.28600000000000003,0.0
wafer,Aladdin Ice Cream Cones,12.0,0.5,4.0,0.007,0.041666666666666664,0.3333333333333333,0.0005833333333333334
wafer,Jules Destrooper Biscuits - Butter Crisps,100.0,15.0,36.0,0.16399999999999998,0.15,0.36,0.0016399999999999997
wafer,Kagi Swiss Chocolate Wafer Minis - Classic,100.0,35.0,38.0,0.096,0.35,0.38,0.00096
wafer,Lee Biscuits Carton - 24 Pack Chocolate Cream Wafers Cubes,90.0,26.7,30.7,0.049,0.29666666666666663,0.3411111111111111,0.0005444444444444445
wafer,Lee Biscuits Carton - 24 Pack Lemon Cream Wafers Cubes,90.0,25.5,20.7,0.062,0.2833333333333333,0.22999999999999998,0.0006888888888888888
wafer,Kagi Swiss Chocolate Wafer Minis - Dark,125.0,37.0,34.0,0.05600000000000001,0.296,0.272,0.00044800000000000005
